TimeDate,KP,DCC (m),Easting (m),Northing (m),TOP (m),BOP (m),MADJ (m),MSBL (m),DOC (m),DOL (m),Comment
14/08/2017,0.183,-0.9,335736.73,6464367.63,141.66,141.93,141.91,141.73,-0.25,-0.07,
14/08/2017,0.184,-0.97,335735.78,6464367.43,141.71,141.98,142.14,141.87,-0.43,-0.16,
14/08/2017,0.185,-1.06,335734.74,6464367.21,141.76,142.04,142.31,142.03,-0.55,-0.27,
14/08/2017,0.185,-1.12,335733.91,6464367.04,141.8,142.07,142.48,142.23,-0.68,-0.43,
14/08/2017,0.187,-1.19,335732.85,6464366.82,141.84,142.12,142.63,142.4,-0.79,-0.56,
14/08/2017,0.188,-1.25,335731.88,6464366.64,141.87,142.15,142.78,142.48,-0.91,-0.61,
14/08/2017,0.188,-1.3,335730.97,6464366.47,141.9,142.17,142.89,142.55,-0.99,-0.65,
14/08/2017,0.189,-1.34,335730,6464366.29,141.92,142.19,142.93,142.6,-1.01,-0.68,
14/08/2017,0.191,-1.37,335728.94,6464366.1,141.93,142.21,143,142.62,-1.07,-0.69,
14/08/2017,0.191,-1.4,335728.12,6464365.95,141.94,142.21,142.93,142.61,-0.99,-0.67,
14/08/2017,0.192,-1.44,335727.14,6464365.76,141.95,142.22,142.87,142.57,-0.92,-0.62,
14/08/2017,0.193,-1.49,335726.04,6464365.55,141.95,142.23,142.85,142.49,-0.9,-0.54,
14/08/2017,0.194,-1.53,335725.22,6464365.38,141.95,142.23,142.72,142.43,-0.77,-0.48,
14/08/2017,0.195,-1.59,335724.19,6464365.17,141.95,142.23,142.69,142.34,-0.74,-0.39,
14/08/2017,0.196,-1.64,335723.25,6464364.97,141.95,142.22,142.5,142.27,-0.55,-0.32,
14/08/2017,0.197,-1.69,335722.35,6464364.78,141.94,142.21,142.48,142.18,-0.54,-0.24,
14/08/2017,0.198,-1.74,335721.44,6464364.59,141.92,142.2,142.45,142.14,-0.53,-0.22,
14/08/2017,0.199,-1.79,335720.41,6464364.38,141.9,142.17,142.32,142.01,-0.42,-0.11,
14/08/2017,0.2,-1.82,335719.44,6464364.19,141.88,142.15,142.19,141.98,-0.31,-0.1,
14/08/2017,0.201,-1.86,335718.41,6464363.99,141.86,142.13,142.11,141.9,-0.25,-0.04,
14/08/2017,0.202,-1.88,335717.44,6464363.81,141.84,142.11,142.09,141.86,-0.25,-0.02,
14/08/2017,0.203,-1.9,335716.53,6464363.65,141.82,142.09,142.01,141.85,-0.19,-0.03,
14/08/2017,0.204,-1.92,335715.56,6464363.48,141.8,142.07,141.94,141.78,-0.14,0.02,
14/08/2017,0.205,-1.93,335714.56,6464363.31,141.77,142.05,141.91,141.74,-0.14,0.03,
14/08/2017,0.206,-1.93,335713.57,6464363.14,141.75,142.02,141.84,141.74,-0.09,0.01,
